date,combo,exposure,btc_price
2022-02-23,-0.1353942028985507,0.6,37296.5703125
2022-02-24,-0.1193942028985507,0.6,38332.609375
2022-02-25,-0.1138608695652174,0.6,39214.21875
2022-02-26,-0.0981217391304348,0.6,39105.1484375
2022-02-27,-0.0981217391304348,0.6,37709.78515625
2022-02-28,-0.1285855072463768,0.7,43193.234375
2022-03-01,-0.105031884057971,0.7,44354.63671875
2022-03-02,-0.094831884057971,0.7,43924.1171875
2022-03-03,-0.094831884057971,0.7,42451.7890625
2022-03-04,-0.1003652173913043,0.7,39137.60546875
2022-03-05,-0.0905681159420289,0.7,39400.5859375
2022-03-06,-0.0815391304347826,0.7,38419.984375
2022-03-07,-0.1309942028985507,0.7,38062.0390625
2022-03-08,-0.0899449275362319,0.6,38737.26953125
2022-03-09,-0.0892782608695652,0.6,41982.92578125
2022-03-10,-0.0904115942028985,0.6,39437.4609375
2022-03-11,-0.0966115942028985,0.6,38794.97265625
2022-03-12,-0.0821478260869565,0.5,38904.01171875
2022-03-13,-0.0774811594202898,0.5,37849.6640625
2022-03-14,-0.0824115942028985,0.5,39666.75390625
2022-03-15,-0.0872782608695652,0.5,39338.78515625
2022-03-16,-0.0831623188405797,0.5,41143.9296875
2022-03-17,-0.0799333333333333,0.5,40951.37890625
2022-03-18,-0.0739333333333333,0.5,41801.15625
2022-03-19,-0.0601362318840579,0.5,42190.65234375
2022-03-20,-0.0651507246376811,0.5,41247.82421875
2022-03-21,-0.0798144927536231,0.5,41077.99609375
2022-03-22,-0.0809014492753623,0.5,42358.80859375
2022-03-23,-0.0765536231884057,0.5,42892.95703125
2022-03-24,-0.0786695652173913,0.5,43960.93359375
2022-03-25,-0.0786695652173913,0.5,44348.73046875
2022-03-26,-0.0692202898550724,0.5,44500.828125
2022-03-27,-0.0913188405797101,0.6,46820.4921875
2022-03-28,-0.0967536231884058,0.6,47128.00390625
2022-03-29,-0.1000869565217391,0.6,47465.73046875
2022-03-30,-0.0799565217391304,0.6,47062.6640625
2022-03-31,-0.0779565217391304,0.6,45538.67578125
2022-04-01,-0.0463589743589743,0.6,46281.64453125
2022-04-02,-0.0513589743589743,0.6,45868.94921875
2022-04-03,-0.0516923076923076,0.5,46453.56640625
2022-04-04,-0.0536923076923076,0.5,46622.67578125
2022-04-05,-0.0434358974358974,0.5,45555.9921875
2022-04-06,-0.0414871794871794,0.5,43206.73828125
2022-04-07,-0.0434358974358974,0.5,43503.84765625
2022-04-08,-0.0538846153846153,0.5,42287.6640625
2022-04-09,-0.042551282051282,0.5,42782.13671875
2022-04-10,-0.0432179487179487,0.5,42207.671875
2022-04-11,-0.0477435897435897,0.5,39521.90234375
2022-04-12,-0.046076923076923,0.5,40127.18359375
2022-04-13,-0.0303461538461538,0.5,41166.73046875
2022-04-14,-0.0477435897435897,0.5,39935.515625
2022-04-15,-0.0410128205128205,0.5,40553.46484375
2022-04-16,-0.039076923076923,0.5,40424.484375
2022-04-17,-0.0384102564102564,0.5,39716.953125
2022-04-18,-0.0270128205128205,0.5,40826.21484375
2022-04-19,-0.0318205128205128,0.5,41502.75
2022-04-20,-0.0337435897435897,0.5,41374.37890625
2022-04-21,-0.0376794871794871,0.5,40527.36328125
2022-04-22,-0.0437435897435897,0.5,39740.3203125
2022-04-23,-0.041076923076923,0.5,39486.73046875
2022-04-24,-0.034076923076923,0.5,39469.29296875
2022-04-25,-0.0314102564102564,0.5,40458.30859375
2022-04-26,-0.0333461538461538,0.5,38117.4609375
2022-04-27,-0.0374102564102564,0.5,39241.12109375
2022-04-28,-0.0223461538461538,0.5,39773.828125
2022-04-29,-0.0310128205128205,0.5,38609.82421875
2022-04-30,-0.0377435897435897,0.5,37714.875
2022-05-01,-0.031076923076923,0.5,38469.09375
2022-05-02,-0.0270128205128205,0.5,38529.328125
2022-05-03,-0.0220897435897435,0.5,37750.453125
2022-05-04,-0.0150897435897435,0.5,39698.37109375
2022-05-05,-0.0237564102564102,0.5,36575.140625
2022-05-06,-0.0137564102564102,0.5,36040.921875
2022-05-07,-0.0134230769230769,0.5,35501.953125
2022-05-08,-0.0307564102564102,0.5,34059.265625
2022-05-09,-0.0300897435897435,0.5,30296.953125
2022-05-10,-0.0300897435897435,0.5,31022.90625
2022-05-11,-0.0284230769230769,0.5,28936.35546875
2022-05-12,-0.0374230769230769,0.5,29047.751953125
